x,y,theta
0.000000,0.404000,0.000000
0.000000,0.804000,0.000000
0.000000,1.204000,0.000000
0.000000,1.604000,0.000000
0.000000,2.004000,0.000000
0.000000,2.404000,0.000000
0.000000,2.804000,0.000000
0.000000,3.204000,0.000000
0.000000,3.604000,0.000000
0.000000,4.004000,0.000000
0.000000,4.404000,0.000000
0.000000,4.804000,0.000000
0.000000,5.204000,0.000000
0.000000,5.604000,0.000000
0.000000,6.004000,0.000000
0.000000,6.404000,0.000000
0.000000,6.804000,0.000000
0.000000,7.204000,0.000000
0.000000,7.604000,0.000000
0.000000,8.004000,0.000000
0.000000,8.404000,0.000000
0.000000,8.804000,0.000000
0.000000,9.876000,0.000000
0.000000,10.276000,0.000000
0.000000,10.676000,0.000000
0.000000,11.076000,0.000000
0.000000,11.476000,0.000000
0.000000,11.876000,0.000000
0.000000,12.276000,0.000000
0.000000,12.676000,0.000000
0.000000,13.076000,0.000000
0.000000,13.476000,0.000000
0.000000,13.876000,0.000000
0.000000,14.276000,0.000000
0.000000,14.676000,0.000000
0.000000,15.076000,0.000000
0.000000,15.476000,0.000000
0.000000,15.876000,0.000000
0.000000,16.276000,0.000000
0.000000,16.676000,0.000000
0.000000,17.076000,0.000000
0.000000,17.476000,0.000000
0.000000,17.876000,0.000000
0.000000,18.276000,0.000000
0.000000,18.676000,0.000000
0.000000,19.076000,0.000000
0.000000,19.476000,0.000000
0.000000,19.876000,0.000000
0.000000,20.276000,0.000000
0.000000,20.676000,0.000000
0.000000,21.076000,0.000000
0.000000,21.476000,0.000000
0.000000,21.876000,0.000000
0.000000,22.276000,0.000000
0.000000,22.676000,0.000000
0.000000,23.076000,0.000000
